진료년도,시도,진료과목,환자수,명세서 청구건수,요양급여비용총액,보험자부담금
2017,서울,일반의,6863 ,8822 ,7317330370 ,5857579480 
2017,서울,내과,2718854 ,13284119 ,3216153060000 ,2629468776930 
2017,서울,신경과,530773 ,1761722 ,323113953300 ,230377393300 
2017,서울,정신건강의학과,196647 ,1138944 ,150242450570 ,102362158990 
2017,서울,외과,900708 ,2914956 ,1203035518340 ,1041804287920 
2017,서울,정형외과,1405150 ,5344672 ,838251417160 ,612361180690 
2017,서울,신경외과,629230 ,1994086 ,541542996570 ,440232890500 
2017,서울,흉부외과,115070 ,362025 ,300936662990 ,270701035500 
2017,서울,성형외과,116348 ,388532 ,68742275110 ,52148949850 
2017,서울,마취통증의학과,110617 ,305108 ,22951321350 ,12154098710 
2017,서울,산부인과,693821 ,2654093 ,437320723230 ,351807524040 
2017,서울,소아청소년과,461224 ,2352778 ,471449477500 ,408276554880 
2017,서울,안과,854211 ,2210957 ,245539909410 ,154198767950 
2017,서울,이비인후과,478355 ,1336952 ,176150184460 ,119794530510 
2017,서울,피부과,338374 ,1117657 ,52681593260 ,24671525300 
2017,서울,비뇨의학과,389073 ,1373170 ,229997487230 ,174600907700 
2017,서울,영상의학과,50310 ,73508 ,13722812870 ,10466907370 
2017,서울,방사선종양학과,53458 ,619277 ,211127641840 ,200185643260 
2017,서울,병리과,4 ,5 ,1119980 ,682180 
2017,서울,진단검사의학과,2742 ,5020 ,900870750 ,709931450 
2017,서울,결핵과,3 ,3 ,2414270 ,1899100 
2017,서울,재활의학과,190843 ,1303179 ,312245771120 ,238170597260 
2017,서울,핵의학과,9489 ,32402 ,6735427310 ,6043224680 
2017,서울,가정의학과,308452 ,821359 ,104492329530 ,72638728670 
2017,서울,응급의학과,882319 ,1170979 ,268432114980 ,180809888330 
2017,서울,직업환경의학과,2218 ,3462 ,122976830 ,71173910 
2017,서울,예방의학과,481 ,1704 ,131645120 ,124713190 
2017,서울,치과,4149 ,9423 ,394070290 ,240987550 
2017,서울,보건,47 ,57 ,4416820 ,4173640 
2017,서울,구강악안면외과,160869 ,384258 ,29129016270 ,17738529080 
2017,서울,치과보철과,42354 ,92861 ,16169030460 ,8373069020 
2017,서울,치과교정과,1942 ,2456 ,64469940 ,25209540 
2017,서울,소아치과,38581 ,76730 ,3642222260 ,2360618650 
2017,서울,치주과,169926 ,301377 ,16634374210 ,9511993910 
2017,서울,치과보존과,255186 ,614402 ,36376349590 ,19317811840 
2017,서울,구강내과,36418 ,105283 ,5371817330 ,3249834680 
2017,서울,영상치의학과,529 ,583 ,37130620 ,24827120 
2017,서울,구강병리과,1 ,3 ,99590 ,59990 
2017,서울,예방치과,2504 ,2704 ,125178560 ,74650560 
2017,서울,한방내과,60234 ,297815 ,19958343000 ,14856276690 
2017,서울,한방부인과,5230 ,23272 ,675295770 ,444775710 
2017,서울,한방소아과,4138 ,10254 ,296439350 ,198017790 
2017,서울,한방안·이비인후·피부과,4012 ,25992 ,1004239030 ,663527970 
2017,서울,한방신경정신과,1699 ,6527 ,390491640 ,267366030 
2017,서울,침구과,45068 ,252066 ,13672101710 ,9745888490 
2017,서울,한방재활의학과,48716 ,285417 ,18317569880 ,12380575040 
2017,서울,사상체질과,1327 ,8222 ,507453960 ,368640510 
2017,서울,한방응급,954 ,1494 ,239246840 ,176488080 
2017,부산,일반의,1280 ,6254 ,620515320 ,489738380 
2017,부산,내과,970703 ,4760192 ,1008595249430 ,802446581840 
2017,부산,신경과,183136 ,685822 ,104186140430 ,76145589410 
2017,부산,정신건강의학과,56903 ,395860 ,78542271360 ,57779123240 
2017,부산,외과,263533 ,922506 ,308769261770 ,252269299040 
2017,부산,정형외과,562354 ,2548742 ,391468709980 ,287086689470 
2017,부산,신경외과,181878 ,635414 ,187050299780 ,148346186770 
2017,부산,흉부외과,27505 ,80308 ,48421138600 ,41185214480 
2017,부산,성형외과,24492 ,79537 ,12277660500 ,8861473160 
2017,부산,마취통증의학과,30327 ,91115 ,12580030530 ,8677658560 
2017,부산,산부인과,297171 ,1178358 ,158836354790 ,127468765410 
2017,부산,소아청소년과,297927 ,2318744 ,142963197180 ,118139470100 
2017,부산,안과,181507 ,526894 ,60389558510 ,40229071700 
2017,부산,이비인후과,144140 ,412341 ,47706001320 ,33761737300 
2017,부산,피부과,65292 ,189933 ,9046933250 ,4942681600 
2017,부산,비뇨의학과,94510 ,362885 ,53259381280 ,39264765950 
2017,부산,영상의학과,12193 ,24765 ,2255568030 ,1593069710 
2017,부산,방사선종양학과,6304 ,83697 ,25554553490 ,24229496140 
2017,부산,진단검사의학과,168 ,516 ,752834730 ,565304280 
2017,부산,재활의학과,54738 ,506896 ,148051983020 ,113687815340 
2017,부산,핵의학과,3414 ,11909 ,2011656300 ,1811653920 
2017,부산,가정의학과,118587 ,346747 ,201224991700 ,149914453380 
2017,부산,응급의학과,319751 ,430586 ,43938381090 ,25163795070 
2017,부산,직업환경의학과,207 ,304 ,8437280 ,1600780 
2017,부산,예방의학과,14 ,19 ,364610 ,255410 
2017,부산,치과,12304 ,26183 ,1219925080 ,728176950 
2017,부산,구강악안면외과,57904 ,120393 ,6183380560 ,3471115270 
2017,부산,치과보철과,8481 ,21283 ,6920260070 ,3579465150 
2017,부산,치과교정과,499 ,610 ,15600500 ,8868100 
2017,부산,소아치과,1885 ,2624 ,109956770 ,71338040 
2017,부산,치주과,54122 ,107779 ,4626425920 ,2737911060 
2017,부산,치과보존과,71548 ,188410 ,10200251570 ,5454051560 
2017,부산,구강내과,1659 ,3384 ,178744980 ,60016680 
2017,부산,영상치의학과,61 ,62 ,5039020 ,3045120 
2017,부산,예방치과,25 ,25 ,601620 ,373220 
2017,부산,한방내과,35755 ,224173 ,19277358430 ,15051705740 
2017,부산,한방부인과,1171 ,4771 ,355905470 ,265876480 
2017,부산,한방소아과,336 ,2360 ,76234600 ,55953500 
2017,부산,한방안·이비인후·피부과,2487 ,14838 ,1159012810 ,819707130 
2017,부산,한방신경정신과,321 ,2388 ,189460700 ,140498020 
2017,부산,침구과,10370 ,65228 ,4179763130 ,3071720980 
2017,부산,한방재활의학과,8503 ,51818 ,4232509170 ,2934943450 
2017,부산,사상체질과,672 ,5643 ,285534130 ,195120540 
2017,부산,한방응급,19 ,28 ,500720 ,251120 
2017,인천,일반의,133 ,564 ,43620590 ,35974130 
2017,인천,내과,536650 ,2460811 ,542243907700 ,430695844810 
2017,인천,신경과,84686 ,282875 ,54276819190 ,38690599840 
2017,인천,정신건강의학과,43939 ,255786 ,58356300460 ,42317412400 
2017,인천,외과,119861 ,399568 ,152003789410 ,126697719340 
2017,인천,정형외과,368276 ,1487446 ,227869361060 ,167103915720 
2017,인천,신경외과,153452 ,486372 ,128069615910 ,100208196440 
2017,인천,흉부외과,10234 ,27086 ,20361362710 ,17497465100 
2017,인천,성형외과,14468 ,47636 ,5927373700 ,3991730310 
2017,인천,마취통증의학과,21667 ,67921 ,5044584360 ,2862249600 
2017,인천,산부인과,169355 ,645040 ,78550301090 ,62903024270 
2017,인천,소아청소년과,110407 ,618463 ,51890991730 ,42127177970 
2017,인천,안과,118842 ,310019 ,36195794340 ,24042973820 
2017,인천,이비인후과,133268 ,388718 ,33942367390 ,21788007300 
2017,인천,피부과,44146 ,143139 ,7777008410 ,3857387010 
2017,인천,비뇨의학과,67167 ,227420 ,30118852960 ,20889262420 
2017,인천,영상의학과,1771 ,2931 ,340315880 ,176847430 
2017,인천,방사선종양학과,3545 ,57274 ,16899095110 ,16045213810 
2017,인천,진단검사의학과,62 ,66 ,494490 ,249090 
2017,인천,결핵과,37 ,37 ,32426430 ,24384060 
2017,인천,재활의학과,35510 ,245511 ,97135532560 ,74741775720 
2017,인천,핵의학과,469 ,1366 ,428775220 ,393031520 
2017,인천,가정의학과,55332 ,167093 ,51800013690 ,39926822580 
2017,인천,응급의학과,272413 ,355406 ,63631311770 ,40459509810 
2017,인천,직업환경의학과,231 ,398 ,15520430 ,4279530 
2017,인천,예방의학과,4 ,4 ,248100 ,149100 
2017,인천,치과,1128 ,2817 ,132814580 ,69401280 
2017,인천,구강악안면외과,25916 ,61010 ,3429522630 ,1772387240 
2017,인천,치과보철과,1308 ,3151 ,974405420 ,503305880 
2017,인천,치과교정과,33 ,39 ,879230 ,528930 
2017,인천,소아치과,1110 ,1547 ,85454530 ,56448760 
2017,인천,치주과,12325 ,18424 ,955723390 ,570211980 
2017,인천,치과보존과,31256 ,69980 ,3943983490 ,1976882760 
2017,인천,한방내과,10756 ,40982 ,4432553350 ,3397130440 
2017,인천,한방부인과,818 ,2504 ,161457800 ,109987120 
2017,인천,한방소아과,103 ,393 ,34179620 ,26891900 
2017,인천,한방안·이비인후·피부과,104 ,667 ,17431720 ,10740230 
2017,인천,한방신경정신과,199 ,1132 ,97106090 ,74728460 
2017,인천,침구과,18718 ,66658 ,8624897650 ,6362202270 
2017,인천,한방재활의학과,6966 ,30026 ,2029386620 ,1399404130 
2017,인천,사상체질과,93 ,334 ,26561030 ,20811800 
2017,대구,일반의,12 ,15 ,5458040 ,4354940 
2017,대구,내과,586513 ,2671262 ,586531811020 ,471505970280 
2017,대구,신경과,125440 ,461869 ,75930297350 ,53899002560 
2017,대구,정신건강의학과,48426 ,340421 ,61422756610 ,45278796270 
2017,대구,외과,204699 ,642771 ,221053367950 ,183600936410 
2017,대구,정형외과,367076 ,1408260 ,229303302830 ,168397147010 
2017,대구,신경외과,166499 ,526486 ,127333773990 ,99967574700 
2017,대구,흉부외과,14877 ,46091 ,37608234260 ,33366083370 
2017,대구,성형외과,24632 ,66272 ,13131658120 ,9695298420 
2017,대구,마취통증의학과,25685 ,69422 ,6667753770 ,4041607660 
2017,대구,산부인과,190720 ,691996 ,108822560390 ,90141247970 
2017,대구,소아청소년과,199044 ,1313652 ,109366228720 ,91926428540 
2017,대구,안과,168299 ,470473 ,52249566020 ,33819938400 
2017,대구,이비인후과,74258 ,194594 ,24857105950 ,16760185160 
2017,대구,피부과,45902 ,137316 ,6122728460 ,2998546620 
2017,대구,비뇨의학과,57743 ,218367 ,33185665320 ,24854222240 
2017,대구,영상의학과,6499 ,7471 ,1177330730 ,829167140 
2017,대구,방사선종양학과,5739 ,91026 ,30068840680 ,28531924160 
2017,대구,병리과,1 ,1 ,364540 ,145840 
2017,대구,재활의학과,34866 ,278840 ,88341134730 ,67772677430 
2017,대구,핵의학과,13984 ,45148 ,3590300110 ,2514818620 
2017,대구,가정의학과,53932 ,145182 ,77278570840 ,58169445120 
2017,대구,응급의학과,156822 ,200554 ,32263864130 ,19437987620 
2017,대구,직업환경의학과,1202 ,2435 ,84938630 ,49495930 
2017,대구,예방의학과,3 ,4 ,275840 ,165640 
2017,대구,치과,11290 ,21635 ,881395410 ,520510310 
2017,대구,구강악안면외과,40303 ,75997 ,3588739690 ,2076137990 
2017,대구,치과보철과,7206 ,15039 ,6521753210 ,3329298650 
2017,대구,치과교정과,261 ,281 ,12398340 ,7456640 
2017,대구,소아치과,8597 ,16617 ,720338790 ,474321190 
2017,대구,치주과,43440 ,74030 ,3713722400 ,2208531400 
2017,대구,치과보존과,78743 ,190695 ,11561104590 ,6787709930 
2017,대구,구강내과,3755 ,9072 ,497844880 ,300646280 
2017,대구,영상치의학과,2 ,2 ,72180 ,45880 
2017,대구,예방치과,10348 ,14296 ,564915640 ,339830540 
2017,대구,한방내과,12742 ,73335 ,5059031760 ,3935184040 
2017,대구,한방부인과,184 ,1174 ,58093030 ,38567090 
2017,대구,한방소아과,382 ,1167 ,26596400 ,17153780 
2017,대구,한방안·이비인후·피부과,657 ,5666 ,212028640 ,136413860 
2017,대구,한방신경정신과,870 ,3833 ,192443840 ,135775530 
2017,대구,침구과,3609 ,17431 ,1061059910 ,763359080 
2017,대구,한방재활의학과,5834 ,42451 ,2771616190 ,1871371180 
2017,대구,사상체질과,18 ,23 ,532160 ,320360 
2017,대구,한방응급,476 ,607 ,20808980 ,12623180 
2017,광주,일반의,23 ,23 ,2034300 ,1111920 
2017,광주,내과,511405 ,2021366 ,385336774110 ,293881985760 
2017,광주,신경과,89128 ,277355 ,41727023010 ,29357599510 
2017,광주,정신건강의학과,29371 ,190916 ,44738922010 ,32748145640 
2017,광주,외과,133685 ,349948 ,127690955850 ,99294575780 
2017,광주,정형외과,342037 ,1116790 ,183316898780 ,133595384430 
2017,광주,신경외과,131081 ,342937 ,78629107770 ,60245898380 
2017,광주,흉부외과,13149 ,34516 ,21068303840 ,17596756820 
2017,광주,성형외과,4957 ,14741 ,3911197500 ,2859867870 
2017,광주,마취통증의학과,19000 ,52428 ,6928828680 ,4858636330 
2017,광주,산부인과,163886 ,560287 ,79289696760 ,64384702280 
2017,광주,소아청소년과,213152 ,1774866 ,94062207440 ,76479630820 
2017,광주,안과,121503 ,284561 ,27809297850 ,18997314810 
2017,광주,이비인후과,107559 ,290774 ,20512072070 ,13183038440 
2017,광주,피부과,32099 ,91928 ,5112403220 ,2609701550 
2017,광주,비뇨의학과,53282 ,157933 ,21170423180 ,14526447020 
2017,광주,영상의학과,3923 ,4164 ,387737800 ,242251790 
2017,광주,방사선종양학과,257 ,3622 ,968514800 ,914893620 
2017,광주,진단검사의학과,67 ,72 ,1140330 ,686530 
2017,광주,결핵과,2285 ,7522 ,1777231100 ,1608680300 
2017,광주,재활의학과,24382 ,166262 ,62197475140 ,47510114150 
2017,광주,핵의학과,1222 ,2806 ,579732350 ,503947120 
2017,광주,가정의학과,103204 ,227757 ,92165217020 ,69936573000 
2017,광주,응급의학과,206376 ,279876 ,38367119250 ,23799276490 
2017,광주,직업환경의학과,1718 ,8934 ,16476023490 ,12182265810 
2017,광주,예방의학과,55 ,55 ,603720 ,364120 
2017,광주,치과,112 ,392 ,732551570 ,546521100 
2017,광주,구강악안면외과,26266 ,55280 ,4378226010 ,2771342660 
2017,광주,치과보철과,8135 ,16505 ,3183885800 ,1671676700 
2017,광주,치과교정과,1846 ,2310 ,88816820 ,53540420 
2017,광주,소아치과,12538 ,29486 ,1491875560 ,988038330 
2017,광주,치주과,31660 ,66194 ,3283062140 ,1961555270 
2017,광주,치과보존과,38768 ,89112 ,5295623520 ,3119062410 
2017,광주,구강내과,8061 ,20461 ,1133883780 ,691682280 
2017,광주,영상치의학과,2 ,2 ,131720 ,79120 
2017,광주,예방치과,2617 ,3762 ,380257120 ,211509020 
2017,광주,한방내과,43349 ,147246 ,24245711860 ,18017894150 
2017,광주,한방부인과,1284 ,4522 ,263910560 ,184622930 
2017,광주,한방안·이비인후·피부과,2455 ,12487 ,1310890410 ,935853960 
2017,광주,한방신경정신과,6 ,14 ,541040 ,349530 
2017,광주,침구과,113983 ,363165 ,78264455870 ,57528152370 
2017,광주,한방재활의학과,25873 ,92512 ,11071722070 ,7926793030 
2017,광주,사상체질과,1120 ,2737 ,610843030 ,452206620 
2017,대전,일반의,74 ,482 ,187213280 ,139516420 
2017,대전,내과,309243 ,1512496 ,369858758190 ,297269195130 
2017,대전,신경과,84450 ,299684 ,62274640160 ,45572132250 
2017,대전,정신건강의학과,25526 ,148606 ,22362758890 ,16085827360 
2017,대전,외과,75494 ,265964 ,105342491350 ,86818477220 
2017,대전,정형외과,187252 ,645585 ,137079266800 ,101120396170 
2017,대전,신경외과,79716 ,242429 ,71869753100 ,57319248340 
2017,대전,흉부외과,11263 ,32347 ,20497370490 ,17249863560 
2017,대전,성형외과,10677 ,33228 ,5265272030 ,3811454580 
2017,대전,마취통증의학과,13351 ,50450 ,4854992280 ,3225325700 
2017,대전,산부인과,96921 ,350806 ,59041331330 ,48125557160 
2017,대전,소아청소년과,120269 ,852588 ,65604068390 ,55208279310 
2017,대전,안과,97190 ,244083 ,26099079440 ,17159149560 
2017,대전,이비인후과,67903 ,181289 ,23074320250 ,15742427700 
2017,대전,피부과,47236 ,161781 ,6771301450 ,3663738620 
2017,대전,비뇨의학과,45525 ,164228 ,20833666330 ,14932825980 
2017,대전,영상의학과,1849 ,2667 ,568722320 ,447814050 
2017,대전,방사선종양학과,3282 ,43037 ,13264884630 ,12592095900 
2017,대전,병리과,22 ,40 ,32697650 ,22367830 
2017,대전,진단검사의학과,137 ,244 ,156324210 ,116584310 
2017,대전,결핵과,35 ,40 ,40183360 ,32734500 
2017,대전,재활의학과,34646 ,282483 ,58081852310 ,44110352250 
2017,대전,핵의학과,612 ,3377 ,324091780 ,291676640 
2017,대전,가정의학과,62978 ,171774 ,38317706220 ,27968450920 
2017,대전,응급의학과,139205 ,172396 ,33207584260 ,20414276490 
2017,대전,직업환경의학과,342 ,496 ,17254960 ,8646160 
2017,대전,치과,372 ,655 ,112311100 ,78081670 
2017,대전,구강악안면외과,17108 ,34701 ,2109694590 ,1292189230 
2017,대전,치과보철과,3188 ,6951 ,1250610390 ,667982530 
2017,대전,치과교정과,291 ,329 ,13965890 ,8522590 
2017,대전,소아치과,7873 ,14164 ,665391790 ,436554410 
2017,대전,치주과,17945 ,31033 ,1852520490 ,1112482320 
2017,대전,치과보존과,75345 ,171640 ,10098956830 ,5709119630 
2017,대전,구강내과,3202 ,9551 ,451262310 ,272416010 
2017,대전,영상치의학과,16 ,16 ,499820 ,300520 
2017,대전,구강병리과,2 ,2 ,108050 ,64950 
2017,대전,예방치과,34 ,34 ,1009910 ,634810 
2017,대전,한방내과,9967 ,61974 ,5197217910 ,4033449490 
2017,대전,한방부인과,586 ,3971 ,158764680 ,105052610 
2017,대전,한방소아과,620 ,4932 ,162157220 ,106682420 
2017,대전,한방안·이비인후·피부과,1154 ,8191 ,324753680 ,212219310 
2017,대전,한방신경정신과,419 ,3270 ,152506990 ,103965520 
2017,대전,침구과,11413 ,60650 ,3828763130 ,2718213470 
2017,대전,한방재활의학과,10158 ,50986 ,3423085970 ,2341060150 
2017,울산,일반의,1288 ,2171 ,249354950 ,186284840 
2017,울산,내과,300510 ,1333673 ,236618246460 ,185822918260 
2017,울산,신경과,47202 ,184113 ,25464363920 ,18230270530 
2017,울산,정신건강의학과,18659 ,141618 ,24066512680 ,17555677170 
2017,울산,외과,79584 ,235749 ,75293339560 ,59813534610 
2017,울산,정형외과,159099 ,676430 ,80194507230 ,57439148320 
2017,울산,신경외과,63920 ,217485 ,48214344410 ,37355962450 
2017,울산,흉부외과,5435 ,14561 ,10714679330 ,9386674410 
2017,울산,성형외과,5875 ,22277 ,4281595600 ,3110986990 
2017,울산,마취통증의학과,5951 ,23192 ,4496882470 ,3175745710 
2017,울산,산부인과,84434 ,349359 ,48721192050 ,39781699160 
2017,울산,소아청소년과,87835 ,623216 ,40105459760 ,33412872940 
2017,울산,안과,30077 ,83362 ,7526376960 ,4607845000 
2017,울산,이비인후과,91916 ,257062 ,16420886520 ,11122534910 
2017,울산,피부과,14750 ,39509 ,1584062960 ,804216580 
2017,울산,비뇨의학과,28199 ,91389 ,12538646770 ,8908089610 
2017,울산,영상의학과,1428 ,2173 ,432043820 ,308537440 
2017,울산,방사선종양학과,1461 ,20282 ,6146218090 ,5831700270 
2017,울산,진단검사의학과,58 ,209 ,354967290 ,267134800 
2017,울산,결핵과,1 ,2 ,67660 ,40660 
2017,울산,재활의학과,8672 ,66658 ,29312387340 ,22555114200 
2017,울산,핵의학과,284 ,1261 ,285685460 ,270889460 
2017,울산,가정의학과,44938 ,118999 ,31812194560 ,23099311090 
2017,울산,응급의학과,126860 ,170000 ,18892456170 ,11380330360 
2017,울산,직업환경의학과,85 ,170 ,5216600 ,2321500 
2017,울산,예방의학과,3686 ,7761 ,271706040 ,182439760 
2017,울산,치과,9666 ,19399 ,2224646230 ,1486654110 
2017,울산,한방,1 ,2 ,1026230 ,513120 
2017,울산,구강악안면외과,13372 ,25897 ,1278304000 ,740953180 
2017,울산,치과보철과,2288 ,3940 ,987311330 ,511446180 
2017,울산,치과교정과,31 ,32 ,591300 ,356400 
2017,울산,소아치과,1196 ,1774 ,56397350 ,35809250 
2017,울산,치주과,12165 ,19469 ,984289450 ,590229170 
2017,울산,치과보존과,24269 ,58510 ,3671061000 ,2013474240 
2017,울산,구강내과,804 ,3151 ,115669940 ,69718540 
2017,울산,영상치의학과,1 ,1 ,19650 ,11850 
2017,울산,예방치과,265 ,287 ,7027630 ,4233630 
2017,울산,한방내과,6756 ,42298 ,4240632320 ,3369573960 
2017,울산,한방소아과,100 ,550 ,19372650 ,13705010 
2017,울산,한방안·이비인후·피부과,862 ,6430 ,214335680 ,138534560 
2017,울산,침구과,2473 ,16017 ,890817990 ,662950030 
2017,울산,한방재활의학과,8252 ,37193 ,2438314210 ,1668872420 
2017,울산,사상체질과,856 ,4377 ,261964630 ,181443670 
2017,경기,일반의,2878 ,4430 ,454978430 ,276932220 
2017,경기,내과,2301404 ,10161692 ,1969617234960 ,1561065222650 
2017,경기,신경과,407610 ,1351920 ,273702179240 ,199156536810 
2017,경기,정신건강의학과,165705 ,976059 ,238435128910 ,175819858680 
2017,경기,외과,572969 ,1732231 ,614669788280 ,506531152710 
2017,경기,정형외과,1588680 ,5742045 ,748985478060 ,545520614780 
2017,경기,신경외과,609403 ,1912053 ,405688498140 ,320141912660 
2017,경기,흉부외과,71998 ,204980 ,135020382020 ,117425361330 
2017,경기,성형외과,88402 ,263555 ,43129616530 ,31410121930 
2017,경기,마취통증의학과,77439 ,251909 ,23548749190 ,15010776410 
2017,경기,산부인과,659947 ,2509903 ,358576121680 ,294925509190 
2017,경기,소아청소년과,561379 ,2949147 ,253689247380 ,207852113440 
2017,경기,안과,356603 ,944615 ,95059096570 ,60675480170 
2017,경기,이비인후과,363291 ,926147 ,100520158400 ,67723931030 
2017,경기,피부과,211177 ,658846 ,28804126000 ,14508695350 
2017,경기,비뇨의학과,271444 ,876521 ,117556677910 ,85450994130 
2017,경기,영상의학과,25965 ,37400 ,4265102500 ,2646453820 
2017,경기,방사선종양학과,20760 ,245214 ,80248171350 ,76062815990 
2017,경기,병리과,59 ,279 ,360944590 ,268158530 
2017,경기,진단검사의학과,1431 ,2938 ,2188618850 ,1923512870 
2017,경기,결핵과,250 ,951 ,1024711250 ,737349950 
2017,경기,재활의학과,148019 ,1028300 ,398711833090 ,307049577680 
