진료년도,시도,진료과목,환자수,명세서 청구건수,입내원일수,요양급여비용총액,보험자부담금
2019,서울,일반의,7807 ,10198 ,10991 ,9079925030 ,7276206520 
2019,서울,내과,2931188 ,14500143 ,18923339 ,4138941095200 ,3321914143020 
2019,서울,신경과,596787 ,1988870 ,3115800 ,448072747240 ,306889661910 
2019,서울,정신건강의학과,212596 ,1211244 ,1858837 ,181522474720 ,126269856000 
2019,서울,외과,936434 ,3078918 ,4776766 ,1556518422890 ,1280435469120 
2019,서울,정형외과,1442623 ,5461076 ,7609960 ,1074078412370 ,764433239980 
2019,서울,신경외과,679549 ,2106556 ,3263687 ,732405380590 ,574573282310 
2019,서울,흉부외과,125066 ,393183 ,680083 ,396218721090 ,339265828740 
2019,서울,성형외과,119481 ,420729 ,578699 ,108841556950 ,68075547500 
2019,서울,마취통증의학과,129431 ,355377 ,394777 ,30045397720 ,16595069700 
2019,서울,산부인과,699338 ,2776394 ,3324820 ,558164918070 ,431435660140 
2019,서울,소아청소년과,468043 ,2373148 ,3074663 ,615012644540 ,532152724340 
2019,서울,안과,897876 ,2397395 ,2439694 ,339692286870 ,212927001570 
2019,서울,이비인후과,484590 ,1357900 ,1530141 ,233289393240 ,154170713860 
2019,서울,피부과,334351 ,1120535 ,1133937 ,71662030800 ,39454827000 
2019,서울,비뇨의학과,423105 ,1499120 ,1744915 ,317272552730 ,236573571080 
2019,서울,영상의학과,63943 ,97096 ,100713 ,23833653710 ,18681098690 
2019,서울,방사선종양학과,60912 ,697254 ,703114 ,286684715410 ,270904013790 
2019,서울,병리과,1 ,2 ,2 ,0 ,0 
2019,서울,진단검사의학과,3020 ,5436 ,5426 ,1245082180 ,859005850 
2019,서울,재활의학과,210657 ,1432640 ,3580821 ,408479416320 ,313592941390 
2019,서울,핵의학과,9859 ,33243 ,37546 ,7562853910 ,6781155050 
2019,서울,가정의학과,320070 ,862455 ,1754625 ,136449543910 ,96550378770 
2019,서울,응급의학과,893458 ,1207429 ,1390470 ,318566345690 ,210784194190 
2019,서울,직업환경의학과,2024 ,3300 ,3095 ,172124050 ,116126720 
2019,서울,예방의학과,39 ,41 ,7 ,6415360 ,5656080 
2019,서울,구강악안면외과,174225 ,409910 ,434568 ,37201170740 ,23151318580 
2019,서울,치과보철과,43505 ,94305 ,89371 ,18904719370 ,12680527240 
2019,서울,치과교정과,5512 ,6613 ,6611 ,439261130 ,231793620 
2019,서울,소아치과,43112 ,89782 ,91802 ,5176054270 ,3429718510 
2019,서울,치주과,182497 ,323613 ,320737 ,19052417610 ,11004824750 
2019,서울,치과보존과,250555 ,561553 ,561287 ,37110578450 ,22203381570 
2019,서울,구강내과,37621 ,109184 ,109093 ,5839588000 ,3534311610 
2019,서울,영상치의학과,6851 ,7425 ,7418 ,410887750 ,250165890 
2019,서울,구강병리과,2 ,2 ,2 ,236730 ,142130 
2019,서울,예방치과,2960 ,3666 ,3656 ,156561800 ,82258700 
2019,서울,치과,12275 ,19417 ,19352 ,801666840 ,507797460 
2019,서울,통합치의학과,7653 ,21261 ,21093 ,1647626750 ,1015684460 
2019,서울,한방내과,55599 ,290278 ,383919 ,23672196510 ,17681061070 
2019,서울,한방부인과,7605 ,33903 ,52273 ,2536752360 ,1786174340 
2019,서울,한방소아과,5818 ,11501 ,11951 ,338565020 ,219564240 
2019,서울,한방안·이비인후·피부과,4831 ,30815 ,37757 ,1635858140 ,1108562290 
2019,서울,한방신경정신과,2044 ,8220 ,9939 ,448365500 ,299392300 
2019,서울,침구과,46862 ,254758 ,351701 ,18219013670 ,13059089630 
2019,서울,한방재활의학과,53587 ,297801 ,379808 ,23548003640 ,15068980750 
2019,서울,사상체질과,1914 ,11348 ,15762 ,1067374730 ,807486010 
2019,서울,한방응급,319 ,509 ,585 ,38424710 ,28287930 
2019,부산,일반의,1993 ,8276 ,73827 ,5872487750 ,4408868410 
2019,부산,내과,1008750 ,5129224 ,8445463 ,1201104203710 ,945808610320 
2019,부산,신경과,202609 ,748535 ,1206743 ,144558113900 ,100268143100 
2019,부산,정신건강의학과,57853 ,400624 ,951705 ,77424594790 ,57858124710 
2019,부산,외과,278360 ,976751 ,2394666 ,386499203630 ,302800082580 
2019,부산,정형외과,600444 ,2701207 ,4563688 ,499895577900 ,358285723620 
2019,부산,신경외과,203315 ,722544 ,1476485 ,236717600230 ,181744642310 
2019,부산,흉부외과,26621 ,78479 ,181692 ,57097289880 ,46919819920 
