,기간,자치구,당뇨병 정상,당뇨병 이상,고혈압 정상,고혈압 이상
0,2011,종로구,14.8,85.2,15.8,84.2
1,2011,중구,18.1,81.9,15.3,84.7
2,2011,용산구,14.8,85.2,12.5,87.5
3,2011,성동구,16.7,83.3,15.6,84.4
4,2011,광진구,15.0,85.0,15.5,84.5
5,2011,동대문구,13.9,86.1,15.2,84.8
6,2011,중랑구,17.2,82.8,12.2,87.8
7,2011,성북구,19.6,80.4,18.2,81.8
8,2011,강북구,21.1,78.9,15.5,84.5
9,2011,도봉구,15.3,84.7,14.8,85.2
10,2011,노원구,16.7,83.3,12.8,87.2
11,2011,은평구,19.7,80.3,12.4,87.6
12,2011,서대문구,23.4,76.6,12.3,87.7
13,2011,마포구,17.1,82.9,14.6,85.4
14,2011,양천구,18.4,81.6,13.5,86.5
15,2011,강서구,15.9,84.1,12.7,87.3
16,2011,구로구,16.3,83.7,11.1,88.9
17,2011,금천구,29.0,71.0,17.2,82.8
18,2011,영등포구,14.8,85.2,13.1,86.9
19,2011,동작구,16.7,83.3,12.4,87.6
20,2011,관악구,13.4,86.6,11.9,88.1
21,2011,서초구,17.4,82.6,17.7,82.3
22,2011,강남구,18.6,81.4,15.7,84.3
23,2011,송파구,22.5,77.5,17.9,82.1
24,2011,강동구,19.2,80.8,12.0,88.0
