,기간,자치구,정상,이상
0,2016,종로구,68.8,31.1
1,2016,중구,67.9,32.1
2,2016,용산구,68.3,31.7
3,2016,성동구,67.2,32.800000000000004
4,2016,광진구,68.3,31.700000000000003
5,2016,동대문구,66.7,33.3
6,2016,중랑구,66.4,33.6
7,2016,성북구,65.6,34.4
8,2016,강북구,65,35.0
9,2016,도봉구,66.5,33.5
10,2016,노원구,67.9,32.199999999999996
11,2016,은평구,67.2,32.8
12,2016,서대문구,71.5,28.5
13,2016,마포구,71.7,28.3
14,2016,양천구,68.7,31.4
15,2016,강서구,68.6,31.4
16,2016,구로구,66,34.1
17,2016,금천구,68.8,31.2
18,2016,영등포구,70.7,29.3
19,2016,동작구,73.3,26.7
20,2016,관악구,70.4,29.6
21,2016,서초구,71.9,28.1
22,2016,강남구,70.8,29.200000000000003
23,2016,송파구,72,28.0
24,2016,강동구,63.1,36.9
